channel_name,title,views,upload_date,duration,url
MrBeast,"I Ate A $70,000 Golden Pizza",281M views,5 years ago,,https://www.youtube.com/watch?v=F4Y3Pkn95GI
MrBeast,"Lambo Race, Winner Keeps Lambo",150M views,5 years ago,,https://www.youtube.com/watch?v=KSKJKLmAqpI
MrBeast,I Gave My Credit Card To Random People,200M views,5 years ago,,https://www.youtube.com/watch?v=IYVjOfoU3uI
MrBeast,"Get Every Boy Scout Badge, Win $10,000",130M views,5 years ago,,https://www.youtube.com/watch?v=oI6aXhowFDY
MrBeast,"$60,000 Extreme Hide And Seek - Challenge",175M views,5 years ago,,https://www.youtube.com/watch?v=LdMx2U5tby0
MrBeast,"How I Gained 15,000,000 Subscribers In 1 Year",19M views,5 years ago,,https://www.youtube.com/watch?v=fY-LA3YaZ_M
MrBeast,Important Youtube Announcement (please watch),39M views,5 years ago,,https://www.youtube.com/watch?v=0hVZOJCYBBM
MrBeast,"Giving 10,000 Presents To Kids For Christmas",81M views,5 years ago,,https://www.youtube.com/watch?v=Z9WQy9jEY8M
MrBeast,"Spending $1,000,000 In 24 Hours",206M views,5 years ago,,https://www.youtube.com/watch?v=bs0SWXbty18
MrBeast,"Last To Take Hand Off $1,000,000 Keeps It",148M views,5 years ago,,https://www.youtube.com/watch?v=yeqARWqjkps
MrBeast,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",68M views,5 years ago,,https://www.youtube.com/watch?v=wMuYiLby3-s
MrBeast,"Last To Leave Toilet Wins $1,000,000 (Part 3)",104M views,5 years ago,,https://www.youtube.com/watch?v=NbaWrbJDr48
MrBeast,I Ordered Pizza And Tipped The House,158M views,5 years ago,,https://www.youtube.com/watch?v=sfv1QaRzJg8&pp=0gcJCQMKAYcqIYzv
MrBeast,"Last to Stop Swinging Wins $1,000,000 (Part 2)",147M views,5 years ago,,https://www.youtube.com/watch?v=RwnN2FVaHmw&pp=0gcJCQMKAYcqIYzv
MrBeast,"$50,000 Game Of Extreme Hide And Seek - Challenge",168M views,5 years ago,,https://www.youtube.com/watch?v=X1jMMFOqxEw
MrBeast,I Opened A FREE BANK,128M views,5 years ago,,https://www.youtube.com/watch?v=ORUX1lHbOa8
MrBeast,"Going Around A Ferris Wheel 1,000 Times Straight",133M views,5 years ago,,https://www.youtube.com/watch?v=LU_xVr4b2qM
MrBeast,"Last To Fall Wins $1,000,000 (Part 1)",168M views,5 years ago,,https://www.youtube.com/watch?v=tQ4m4zD7BBA
MrBeast,Surviving 24 Hours Straight In The Bermuda Triangle,264M views,6 years ago,,https://www.youtube.com/watch?v=D9lVNzyhYnc
MrBeast,"I Spent $100,000 On Lottery Tickets And Won!",58M views,6 years ago,,https://www.youtube.com/watch?v=jokVbbLqV_E
MrBeast,"Planting 20,000,000 Trees, My Biggest Project Ever!",117M views,6 years ago,,https://www.youtube.com/watch?v=HPJKxAhLw5I
MrBeast,"Last To Take Hand Off Boat, Keeps It",136M views,6 years ago,,https://www.youtube.com/watch?v=Ims5p6wjW9s
MrBeast,"I Searched 100 Dumpsters, Here's What I Found",230M views,6 years ago,,https://www.youtube.com/watch?v=anFxsa5jXrE
MrBeast,"Going Through The Same Drive Thru 1,000 Times",310M views,6 years ago,,https://www.youtube.com/watch?v=QxGVgXf_LNk
MrBeast,"Donating $100,000 To Random Streamers",67M views,6 years ago,,https://www.youtube.com/watch?v=al6130OD1Ck
MrBeast,Surviving 24 Hours Straight In A Rain Forest,144M views,6 years ago,,https://www.youtube.com/watch?v=d1010B3sKNQ
MrBeast,"Last To Leave Ramen Noodle Pool Wins $20,000",78M views,6 years ago,,https://www.youtube.com/watch?v=NS3hse9ezik
MrBeast,"Anything You Can Carry, I'll Pay For #2",91M views,6 years ago,,https://www.youtube.com/watch?v=npDey6_9YRs
MrBeast,"I Gave My Brother 24 Hours To Spend $100,000",108M views,6 years ago,,https://www.youtube.com/watch?v=0NGWT9COcEI
MrBeast,I Opened A Free Car Dealership,153M views,6 years ago,,https://www.youtube.com/watch?v=3LLnjRLrvLU
MrBeast,"Last To Leave Pool Of $20,000 Keeps It",186M views,6 years ago,,https://www.youtube.com/watch?v=bTrV5v7GLcQ
MrBeast,Surviving 24 Hours On A Deserted Island,212M views,6 years ago,,https://www.youtube.com/watch?v=lBYC4_Lccjw&pp=0gcJCQMKAYcqIYzv
MrBeast,"Last To Leave Roller Coaster Wins $20,000 - Challenge",167M views,6 years ago,,https://www.youtube.com/watch?v=gL6iSCSHjco
MrBeast,I Won Every Prize At A Theme Park,187M views,6 years ago,,https://www.youtube.com/watch?v=UQtltNZ_pjs&pp=0gcJCQMKAYcqIYzv
MrBeast,Destroying My Friend's Car And Surprising Him With A New One,115M views,6 years ago,,https://www.youtube.com/watch?v=0DaMUhgcAqo
MrBeast,I Spent 24 Hours Straight At Area 51,192M views,6 years ago,,https://www.youtube.com/watch?v=TOcGSwJBPMQ
MrBeast,"Can 50,000 Magnets Catch A Cannon Ball?",135M views,6 years ago,,https://www.youtube.com/watch?v=ws694xrKopA&pp=0gcJCQMKAYcqIYzv
MrBeast,World's Largest Game Of Dodgeball,93M views,6 years ago,,https://www.youtube.com/watch?v=UtnsWzaoRtg
MrBeast,"Last To Leave Revolving Door Wins $50,000",169M views,6 years ago,,https://www.youtube.com/watch?v=6wsFjjhZPJI
MrBeast,Tipping Waitresses With Real Gold Bars,70M views,6 years ago,,https://www.youtube.com/watch?v=Rmf6T_Ewt38
MrBeast,I Opened The World's First FREE Store,97M views,6 years ago,,https://www.youtube.com/watch?v=n6qc4LHN2KQ
MrBeast,Spending 24 Hours On Top Of A Mountain,229M views,6 years ago,,https://www.youtube.com/watch?v=2eFSU7TFOnk
MrBeast,"Last To Leave VR Wins $20,000",169M views,6 years ago,,https://www.youtube.com/watch?v=RCvnytndd9c
MrBeast,"Last To Stop Running Wins $20,000",123M views,6 years ago,,https://www.youtube.com/watch?v=AA-VpIj8F5Y
MrBeast,"Paying People $10,000 To Eat Ghost Pepper",40M views,6 years ago,,https://www.youtube.com/watch?v=fWcSBWadolA
MrBeast,24 Hours In The Most Haunted Place On Earth,152M views,6 years ago,,https://www.youtube.com/watch?v=YyhKdOCwD7s
MrBeast,I Bought Everything In A Store - Challenge,166M views,6 years ago,,https://www.youtube.com/watch?v=ha4tRQwKIUg
MrBeast,"Last To Leave World's Largest Bowl Of Cereal Wins $10,000",258M views,6 years ago,,https://www.youtube.com/watch?v=xRwy_rKc7gI
MrBeast,Spending 24 Hours In A City With No Laws,187M views,6 years ago,,https://www.youtube.com/watch?v=H1WBdh56Vq4
MrBeast,"Giving $10,000 To Random People And Saying Nothing",83M views,6 years ago,,https://www.youtube.com/watch?v=xhIYirjB4Yc
MrBeast,Molten Lava Vs Giant Ice Block Experiment,100M views,6 years ago,,https://www.youtube.com/watch?v=HfJMs4mrSJM
